id	word	frequency
1	der	1793
2	die	1648
3	Die	1393
4	ist	1015
5	Das	715
6	in	688
7	Der	686
8	den	670
9	auf	560
10	das	558
11	ein	538
12	werden	522
13	Sie	510
14	eine	506
15	und	454
16	mit	417
17	von	411
18	wird	392
19	für	386
20	des	377
21	sind	355
22	sich	343
23	es	315
24	dem	305
25	nicht	296
26	im	294
27	wurde	285
28	war	266
29	an	261
30	zu	258
31	Es	248
32	auch	245
33	aus	244
34	hat	238
35	einen	222
36	Ein	208
37	einer	187
38	um	179
39	noch	176
40	sie	175
41	bei	173
42	Eine	173
43	einem	173
44	Er	171
45	er	169
46	Prozent	160
47	nach	154
48	In	149
49	über	144
50	Wir	141
51	Euro	139
52	haben	134
53	durch	127
54	Auch	125
55	vor	125
56	ich	123
57	gibt	122
58	am	121
59	wir	121
60	nur	120
61	Ich	119
62	wurden	116
63	kann	114
64	Diese	112
65	sei	111
66	aber	109
67	soll	103
68	hatte	102
69	können	99
70	waren	98
71	Im	97
72	zum	95
73	Für	92
74	Und	90
75	wieder	89
76	zur	88
77	ab	82
78	hier	81
79	Mit	81
80	keine	77
81	geht	75
82	sehr	75
83	sein	75
84	als	74
85	Was	73
86	Aber	72
87	dann	72
88	gibt es	72
89	gegen	70
90	Hier	70
91	schon	70
92	Wie	70
93	jedoch	68
94	immer	66
95	Dies	65
96	So	65
97	Doch	64
98	habe	64
99	Jetzt	63
100	Bei	62
101	liegt	62
102	nun	61
103	kommt	60
104	mehr	60
105	müssen	59
106	neue	59
107	unter	59
108	muss	57
109	Uhr	57
110	jetzt	56
111	Am	55
112	bis	55
113	eines	55
114	steht	55
115	Ihre	54
116	Nach	53
117	Außerdem	51
118	diesem	51
119	Dort	51
120	so	51
121	Dann	50
122	seien	50
123	sollen	50
124	uns	49
125	weiter	49
126	Yahoo	49
127	Polizei	48
128	bereits	47
129	dieser	47
130	an der	46
131	Auf	46
132	bleibt	46
133	oder	46
134	will	46
135	Zeit	45
136	beim	44
137	erste	44
138	ersten	44
139	Ihr	44
140	Damit	43
141	kein	43
142	Millionen	43
143	Dabei	41
144	gut	41
145	Jahre	41
146	Jahren	41
147	diese	40
148	ganz	40
149	seine	40
150	vom	40
151	werde	40
152	Da	39
153	man	39
154	wäre	39
155	zwischen	39
156	Allerdings	38
157	also	38
158	An	38
159	Jahr	37
160	Stadt	37
161	Über	37
162	Unternehmen	37
163	zwei	37
164	Menschen	36
165	doch	35
166	erfolgt	35
167	gab	35
168	hatten	35
169	ja	35
170	kam	35
171	Nun	35
172	ebenfalls	34
173	Zu	34
174	zurück	34
175	besteht	33
176	da	33
177	dort	33
