commande	1_graph	8_frantfreqparm
1	de	37524.35
2	la	23889
3	et	18621.71
4	le	17901.87
5	à	16994.68
6	les	16011
7	d'	12502.19
8	des	12299.45
9	il	12021.52
10	un	11468.61
11	en	10644.13
12	que	9208.19
13	une	8972.77
14	est	8745.94
15	dans	7480.9
16	du	7141.45
17	qui	7121.97
18	pas	6372.55
19	qu'	6360.81
20	je	6260.29
21	pour	5332.48
22	ne	5218.58
23	se	5031
24	au	4962.61
25	elle	4931.74
26	par	4773.39
27	ce	4696.55
28	s'	4547.23
29	plus	4519.81
30	on	4364.48
31	a	4294.9
32	n'	4255.13
33	sur	4209.61
34	mais	3556.94
35	son	3357.29
36	nous	3077.39
37	était	3039.55
38	avec	3019.71
39	ou	2954.74
40	comme	2929.48
41	lui	2869.29
42	tout	2718.48
43	avait	2612.61
44	sa	2540.35
45	vous	2476.68
46	même	2401.39
47	y	2325.13
48	me	2319.16
49	ses	2230.32
50	cette	2143.87
51	si	2104.13
52	ils	2096.9
53	aux	1989.35
54	être	1986.23
55	bien	1963.32
56	sont	1925.68
57	i	1739.1
58	sans	1736.9
59	où	1656.52
60	ces	1655.84
61	leur	1587.77
62	ai	1538.06
63	fait	1535.26
64	tu	1517.77
65	deux	1500.03
66	dit	1461.52
67	peut	1421.52
68	mon	1297.71
69	moi	1294.97
70	ça	1270.1
71	encore	1253.65
72	là	1205.9
73	aussi	1203.74
74	autre	1175.61
75	peu	1145.32
76	faire	1124.26
77	ont	1065.87
78	temps	1045.1
79	dont	1043.16
80	très	1027.1
81	entre	1026.48
82	sous	1019.1
83	non	992.03
84	quand	991.13
85	été	977.16
86	tous	961.35
87	rien	960.03
88	ma	945.94
89	après	872.1
90	autres	838.55
91	leurs	828.65
92	fois	820.42
93	toujours	807.42
94	alors	793.84
95	moins	785.45
96	dire	784.1
97	puis	739.39
98	vers	727.26
99	jamais	727.19
100	vie	711.55
101	toute	702.35
102	homme	696.42
103	elles	686.39
104	grand	674.68
105	suis	660.23
106	ainsi	649.77
107	avoir	620.55
108	étaient	620.32
109	avant	604.58
110	monde	602.65
111	faut	597.48
112	quelques	590.84
113	mes	575.32
114	trois	573.65
115	jour	568.13
116	toutes	567.68
117	trop	559.68
118	notre	558.39
119	déjà	554.42
120	yeux	551.52
121	cela	550.87
122	ni	544.19
123	soit	537.29
124	donc	524.68
125	celui	523.71
126	chez	521.65
127	contre	520.9
128	devant	520.81
129	depuis	519.06
130	celle	514.52
131	tête	504.74
132	petit	496.58
133	chaque	483.45
134	avais	481.61
135	ans	481.32
136	père	480.84
137	voir	479.94
138	mère	478.87
139	quelque	478.1
140	chose	477.19
141	main	476.97
142	va	470.55
143	grande	458.48
144	cet	456
145	point	451.55
146	nos	451.32
147	avaient	451.06
148	t'	448.94
149	eux	444.84
150	fut	440.06
151	o	439.29
152	moment	430.58
153	hommes	430.32
154	te	429.87
155	porte	426.48
156	parce	424.9
157	cas	424.19
158	ici	423.97
159	car	416.68
160	part	415.61
161	air	413.39
162	seulement	412.87
163	beaucoup	406.71
164	ceux	406.71
165	nuit	404.42
166	femme	400.52
167	seul	400.32
168	enfin	398.32
169	état	393
170	corps	390.48
171	t	385.74
172	coup	380.68
173	oui	379.87
174	bon	379.16
175	quoi	370.39
176	pendant	370.23
177	place	369.52
178	maintenant	367.39
179	souvent	367.16
180	voix	366.52
181	pays	365.42
182	aurait	364.58
183	mal	364.26
184	assez	363.35
185	doit	359.97
186	première	355.81
187	premier	352.29
188	mort	351.19
189	sais	348.65
190	ailleurs	347.81
191	jours	344
192	eau	339.1
193	près	339.1
194	côté	338.19
195	tant	337.61
196	toi	336.87
197	terre	336.19
198	sens	335.77
199	ci	333.39
200	presque	332.71
201	étais	332.16
202	mieux	331.94
203	petite	331.23
204	serait	329.35
205	loin	328.71
206	pourquoi	328.16
207	histoire	322.58
208	guerre	320.87
209	surtout	313.32
210	comment	311.16
211	heures	306.81
212	heure	305.81
213	soir	303.32
214	fin	302.06
215	eu	300.87
216	ensemble	300.61
217	maison	299.65
218	personne	298.1
219	enfant	298.06
220	quatre	298.06
221	doute	297.29
222	pouvait	296.42
223	dès	294.84
224	faisait	292.39
225	travail	290.42
226	bras	290.29
227	effet	289.87
228	reste	289.52
229	nom	286.9
230	général	286.68
231	partie	285.48
232	cours	283.1
233	vu	282.71
234	forme	282.58
235	as	281.19
236	saint	280.35
237	enfants	279.06
238	exemple	278.77
239	votre	276.9
240	parfois	276.06
241	seule	275.74
242	pourtant	275
243	coeur	274.94
244	nombre	274.68
245	ton	272.13
246	nouveau	271.39
247	visage	270.74
248	jeune	270.48
249	siècle	269.9
250	bas	269.77
251	pu	267.74
252	mains	267.55
253	droit	266.77
254	fit	264.55
255	années	263.94
256	fond	263.9
257	avons	263.74
258	abord	261.06
259	rue	260.97
260	dis	260.77
261	derrière	258.55
262	dessus	258.42
263	amour	258.29
264	français	257.42
265	choses	257.32
266	vieux	257.23
267	prendre	256.16
268	façon	255.71
269	jean	255.48
270	gens	255.26
