"Compiled from boardgamegeek.com by Matt Borthwick",gameID,rating,comment
25308,37111,8.5,"++++ Thematic +++ Bluff - Many randomness   I really like that one. Maybe it's more fun to play as a cylon than as a human, but when you do, you really feel like an undercover agent who awaits the best moment to strike and hurt bad...  It is a long poker time when everyone tries to guess who is who.  Having seen the series is really a must, to enjoy this game, otherwise the thematic won't be appreciated."
54313,12,8,"""well, that ugly artwork certainly helped immerse me in the egyptian theme, cool auction too""  RA!!!"
38165,50,8,"LOVE this game!  If only the GF would play it with me.  Tired at end of day with basic math = bad idea."
56936,1198,5,"SET is a good game, in small doses (in my case very small doses). The game has a simple concept but is a lot more ""thinky"" than it looks. For me the game is fun for 3 or 4 turns, but then becomes too much of a brain burn. In my experience after about 5 minutes I feel like I am having to work rather than having fun. Definitely only a filler game for 5 to 10 minutes for me."
47675,164153,6,"So much better than Descent. Better theme, improved rules, better balance, and better paced with Imperial and Rebel players going on alternate turns.   Update: This is just not a game I really ever want to play. While I definitely see the appeal of the game, I am finding that I am not a fan of these random and combative games. "
94529,31260,8,"Very tense and fun and I love pondering my strategy at the beginning of the game. My rating would be higher if the game wasn't such a bear to set up!"
122420,320,6,"A classic. "
55342,161970,4.5,"rating based on 2 player game."
147851,13,8,"A good game, but sometimes the dice are against me!"
171066,13291,7,"Same rating as base game. New characters are good but doesn't add anything really new for us but keeps the game fresh."
96948,31260,7.5,"Great game but not sure yet how much I like it.  It still feels more like work than fun and the card combos you get can wildly swing the game.  "
70621,12493,9.5,"Great game and very epic with lots of drama and politics.  The different alien races are great as well. "
41393,176189,8,"Knight Level pledge (lots of extra heroes and aboms) "
22801,91536,9,"Looking forward to this one, I hope it'll be good!  9/27 the hype has died down for me since this has came out, I think I'll be passing on this one for right now. I'm sure something better will be out in the future.  Got this for my birthday November 2011. I'm very happy with this game and wish I would have picked it up a long time ago!"
88133,105551,9,"Nice worker placement concept, top material, lots of variety, we mostly play the 2-player short scenario"
110653,483,8,"A classic great game. Easy to learn, difficult to master!"
164768,71721,7,"Very good solitaire play. Looking forward to trying a multi-player game. Surprising amount of depth in such a portable game. Would love to see FFG do a Warhammer Fantasy implementation of this format."
29353,181,4,"This game used to be fun when I played it as a kid but there are so many games that have replaced this one."
65970,1927,2,"REALLY LONG for what it is. This game should take maybe 30 minutes, being that it is at heart a card drawing, dice rolling game with no board and no long-term strategy. Instead, it often takes 90 minutes, and can go as long as 3 HOURS. Unfortunately this is the syndrome of every Steve Jackson game I have played. I will refuse to play this game every time it is suggested, as well as any other SJ games. Maybe they should focus more on gameplay and less on 'humor'- or at least what they try to insist is humor."
172882,29368,8,"A lot of great zombie fighting fun.  B-movie theme works well, goes well with a few friends, beers and nachos. Great package - good work Flying Frog! "
21405,128621,8,"Nice easy Euro"
46212,39856,7,"Better than I expected, but not my favourite type of game."
44168,59946,6.8,"Fun but feels thin; not enough depth in the game system. Severe lack of unique abilities. Punished for everything you do. Nothing good literally ever happens to your characters....it almost feels defeating before you even start. Still a great way to scratch your D&D itch. I don't think this is something I will get on the table often...it's missing that ""fun/excitement factor."" I would play this again though as I enjoy the theme and it plays relatively quickly.  Easy enough to teach casual gamers. Components are top notch, and it looks impressive on the table. It definitely is missing something though; explorations and rewards?  HUGE potential for house rules and variants though. Not my sort of thing normally but I may give it a shot and come up with something interesting."
153331,39463,6,"I know I'm in the minority, but I dislike the forced confrontation in this game."
105806,121921,8.5,"Best co-op I own  Lots of choices, lots of depth combined with a little luck  A fun game that tells a story  Only played scenario 1 (2-player) and look forward to the next scenario  Would consider playing this alone and I don't do that often"
64168,3955,6,"Fun game with a big group."
